"","X","X.2","X.1","participant.perception","participant.id","participant.code","participant.created_at","updated_at","participant.experiment_type.to_s.downcase","participant.training_group","experiment_phase","display_order","paradigm.consonant","paradigm.vowel","paradigm.stress","paradigm.human_singular","singular_play_count","paradigm.human_plural","plural_play_count","plural_response","both_responses","participant.year_born","participant.language_background","participant.comments","participant.other_languages","participant.native","participant.gender","pl.exists","shape","vowel","group","IPA","responseV","mapping","success","response2","responseMatch","responseShapeMatch","success2"
"1",1,323,3521,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:27 UTC","fixed","iamb","learning",1,NA,"a","trochee","bal-d",1,"bal-dni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","baləd","","a",FALSE,"","",FALSE,FALSE
"2",2,324,3522,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:34 UTC","fixed","iamb","learning",2,NA,"a","trochee","rask-sh",1,"rask-shni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","raskəsh","","a",FALSE,"","",FALSE,FALSE
"3",3,325,3523,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:40 UTC","fixed","iamb","learning",3,NA,"e","iamb","t-gep",1,"t-gop",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","e","iamb","təgep","","e",FALSE,"","",FALSE,FALSE
"4",4,326,3524,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:13:51 UTC","fixed","iamb","learning",4,NA,"a","iamb","l-taf",1,"l-tafni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","a","iamb","lətaf","","a",FALSE,"","",FALSE,FALSE
"5",5,327,3525,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:00 UTC","fixed","iamb","learning",5,NA,"u","iamb","ch-mum",1,"ch-mim",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","chəmum","","u",FALSE,"","",FALSE,FALSE
"6",6,328,3526,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:04 UTC","fixed","iamb","learning",6,NA,"u","iamb","pl-sum",1,"pl-sim",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","pləsum","","u",FALSE,"","",FALSE,FALSE
"7",7,329,3527,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:09 UTC","fixed","iamb","learning",7,NA,"a","trochee","taz-p",1,"taz-pni",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"trochee","a","iamb","tazəp","","a",FALSE,"","",FALSE,FALSE
"8",8,330,3528,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:14 UTC","fixed","iamb","learning",8,NA,"u","iamb","p-dul",1,"p-dil",1,"","false",1991,"Southern United States","","A bit of German.","true","Male",FALSE,"iamb","u","iamb","pədul","","u",FALSE,"","",FALSE,FALSE
"9",9,331,3529,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:23 UTC","fixed","iamb","learning",9,NA,"e","iamb","tr-mel",1,"tr-mol",1,"tr-mol","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","trəmel","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"10",10,332,3530,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:32 UTC","fixed","iamb","learning",10,NA,"e","iamb","k-zem",1,"k-zom",1,"k-zom","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","kəzem","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"11",11,333,3531,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:41 UTC","fixed","iamb","learning",11,NA,"u","iamb","dr-tup",1,"dr-tip",1,"dr-tip","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","drətup","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"12",12,334,3532,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:14:49 UTC","fixed","iamb","learning",12,NA,"u","iamb","k-nul",1,"k-nil",1,"k-nil","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","kənul","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"13",13,335,3533,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:00 UTC","fixed","iamb","learning",13,NA,"a","iamb","s-sach",1,"s-sachni",1,"s-sachni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","səsach","a","aa",FALSE,"-a","iamb",TRUE,FALSE
"14",14,336,3534,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:08 UTC","fixed","iamb","learning",14,NA,"a","iamb","st-sham",1,"st-shamni",1,"st-shamni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","stəsham","a","aa",FALSE,"-a","iamb",TRUE,FALSE
"15",15,337,3535,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:14 UTC","fixed","iamb","learning",15,NA,"e","iamb","n-dep",1,"n-dop",1,"n-dop","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","nədep","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"16",16,338,3536,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:23 UTC","fixed","iamb","learning",16,NA,"e","iamb","k-shel",1,"k-shol",1,"k-shol","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","kəshel","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"17",17,339,3537,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:33 UTC","fixed","iamb","testing",17,NA,"e","iamb","tr-mel",1,"tr-mol",0,"tr-melni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","trəmel","e","ee",FALSE,"-e","iamb",TRUE,FALSE
"18",18,340,3538,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:43 UTC","fixed","iamb","testing",18,NA,"a","iamb","st-sham",1,"st-shamni",0,"st-shom","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","stəsham","o","ao",FALSE,"-o","iamb",TRUE,FALSE
"19",19,341,3539,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:15:54 UTC","fixed","iamb","testing",19,NA,"a","trochee","chak-p",1,"chak-pni",0,"chak-pni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","a","iamb","chakəp","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"20",20,342,3540,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:01 UTC","fixed","iamb","testing",20,NA,"a","trochee","taz-p",1,"taz-pni",0,"taz-pni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","a","iamb","tazəp","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"21",21,343,3541,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:09 UTC","fixed","iamb","testing",21,NA,"a","trochee","katr-f",1,"katr-fni",0,"katr-fni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","a","iamb","katrəf","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"22",22,344,3542,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:17 UTC","fixed","iamb","testing",22,NA,"e","iamb","n-dep",1,"n-dop",0,"n-dop","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","nədep","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"23",23,345,3543,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:25 UTC","fixed","iamb","testing",23,NA,"e","trochee","lef-p",1,"lof-p",0,"lef-pni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","e","iamb","lefəp","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"24",24,346,3544,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:32 UTC","fixed","iamb","testing",24,NA,"u","trochee","prus-m",1,"pris-m",0,"prus-mni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","u","iamb","prusəm","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"25",25,347,3545,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:38 UTC","fixed","iamb","testing",25,NA,"e","iamb","st-fet",1,"st-fot",0,"st-fetni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","stəfet","e","ee",FALSE,"-e","iamb",TRUE,FALSE
"26",26,348,3546,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:45 UTC","fixed","iamb","testing",26,NA,"u","iamb","ch-mum",1,"ch-mim",0,"ch-mim","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","chəmum","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"27",27,349,3547,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:51 UTC","fixed","iamb","testing",27,NA,"u","trochee","lup-t",1,"lip-t",0,"lup-tni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","u","iamb","lupət","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"28",28,350,3548,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:16:57 UTC","fixed","iamb","testing",28,NA,"e","trochee","sef-k",1,"sof-k",0,"sef-kni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","e","iamb","sefək","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"29",29,351,3549,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:17:10 UTC","fixed","iamb","testing",29,NA,"e","iamb","sk-net",1,"sk-not",0,"sk-not","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","skənet","o","eo",TRUE,"-o","iamb",TRUE,TRUE
"30",30,352,3550,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:17:17 UTC","fixed","iamb","testing",30,NA,"e","trochee","sheb-f",1,"shob-f",0,"sheb-fni","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","e","iamb","shebəf","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"31",31,353,3551,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:17:26 UTC","fixed","iamb","testing",31,NA,"a","iamb","b-tak",1,"b-takni",0,"b-tok","false",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","bətak","o","ao",FALSE,"-o","iamb",TRUE,FALSE
"32",32,354,3552,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:17:36 UTC","fixed","iamb","testing",32,NA,"e","iamb","pl-zek",1,"pl-zok",0,"pl-zek","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","e","iamb","pləzek","e","ee",FALSE,"-e","iamb",TRUE,FALSE
"33",33,355,3553,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:18:56 UTC","fixed","iamb","testing",33,NA,"u","trochee","sum-l",10,"sim-l",0,"sum-lni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","u","iamb","suməl","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"34",34,356,3554,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:19:20 UTC","fixed","iamb","testing",34,NA,"u","iamb","t-shuf",3,"t-shif",0,"t-shif","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","təshuf","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"35",35,357,3555,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:19:34 UTC","fixed","iamb","testing",35,NA,"u","iamb","fr-kuf",2,"fr-kif",0,"fr-kif","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","frəkuf","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"36",36,358,3556,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:19:47 UTC","fixed","iamb","testing",36,NA,"u","iamb","k-nul",2,"k-nil",0,"k-nil","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","kənul","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"37",37,359,3557,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:20:31 UTC","fixed","iamb","testing",37,NA,"a","trochee","gast-sh",7,"gast-shni",0,"gostishni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","a","iamb","gastəsh","","a",FALSE,"","",FALSE,FALSE
"38",38,360,3558,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:20:59 UTC","fixed","iamb","testing",38,NA,"e","trochee","kef-t",4,"kof-t",0,"kf-tni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","e","iamb","kefət","","e",FALSE,"","",FALSE,FALSE
"39",39,361,3559,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:21:09 UTC","fixed","iamb","testing",39,NA,"a","iamb","bl-zap",1,"bl-zapni",0,"bl-zopni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","bləzap","o","ao",FALSE,"-o","iamb",TRUE,FALSE
"40",40,362,3560,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:21:27 UTC","fixed","iamb","testing",40,NA,"a","iamb","m-raf",3,"m-rafni",0,"m-rof","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","məraf","o","ao",FALSE,"-o","iamb",TRUE,FALSE
"41",41,363,3561,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:21:38 UTC","fixed","iamb","testing",41,NA,"u","iamb","s-fup",2,"s-fip",0,"s-fip","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","u","iamb","səfup","i","ui",TRUE,"-i","iamb",TRUE,TRUE
"42",42,364,3562,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:21:56 UTC","fixed","iamb","testing",42,NA,"a","iamb","pr-nash",2,"pr-nashni",0,"pr-nosh","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"iamb","a","iamb","prənash","o","ao",FALSE,"-o","iamb",TRUE,FALSE
"43",43,365,3563,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:22:11 UTC","fixed","iamb","testing",43,NA,"u","trochee","bul-k",1,"bil-k",0,"bul-kni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","u","iamb","bulək","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"44",44,366,3564,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:22:27 UTC","fixed","iamb","testing",44,NA,"e","trochee","fren-p",2,"fron-p",0,"fren-pni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","e","iamb","frenəp","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"45",45,367,3565,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:22:48 UTC","fixed","iamb","testing",45,NA,"u","trochee","must-p",3,"mist-p",0,"must-pni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","u","iamb","mustəp","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"46",46,368,3566,"larbid",689,"OWO688","2011-03-28 21:13:02 UTC","2011-03-28 21:23:14 UTC","fixed","iamb","testing",46,NA,"a","trochee","mand-k",3,"mand-kni",0,"mand-kni","true",1991,"Southern United States","","A bit of German.","true","Male",TRUE,"trochee","a","iamb","mandək","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"47",47,415,3613,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:11 UTC","fixed","trochee","learning",1,NA,"e","trochee","brez-l",1,"broz-l",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","e","trochee","brezəl","","e",FALSE,"","",FALSE,FALSE
"48",48,416,3614,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:15 UTC","fixed","trochee","learning",2,NA,"e","trochee","kresh-k",1,"krosh-k",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","e","trochee","kreshək","","e",FALSE,"","",FALSE,FALSE
"49",49,417,3615,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:18 UTC","fixed","trochee","learning",3,NA,"u","trochee","zum-p",1,"zim-p",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","u","trochee","zuməp","","u",FALSE,"","",FALSE,FALSE
"50",50,418,3616,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:22 UTC","fixed","trochee","learning",4,NA,"e","trochee","sef-k",1,"sof-k",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","e","trochee","sefək","","e",FALSE,"","",FALSE,FALSE
"51",51,419,3617,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:25 UTC","fixed","trochee","learning",5,NA,"a","iamb","g-mat",1,"g-matni",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"iamb","a","trochee","gəmat","","a",FALSE,"","",FALSE,FALSE
"52",52,420,3618,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:28 UTC","fixed","trochee","learning",6,NA,"u","trochee","must-p",1,"mist-p",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","u","trochee","mustəp","","u",FALSE,"","",FALSE,FALSE
"53",53,421,3619,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:32 UTC","fixed","trochee","learning",7,NA,"u","trochee","kush-t",1,"kish-t",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"trochee","u","trochee","kushət","","u",FALSE,"","",FALSE,FALSE
"54",54,422,3620,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:35 UTC","fixed","trochee","learning",8,NA,"a","iamb","f-dral",1,"f-dralni",1,"","false",1989,"New Jersey","","","true","Female",FALSE,"iamb","a","trochee","fədral","","a",FALSE,"","",FALSE,FALSE
"55",55,423,3621,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:40:55 UTC","fixed","trochee","learning",9,NA,"a","trochee","bal-d",1,"bal-dni",1,"bal-dni","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","baləd","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"56",56,424,3622,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:05 UTC","fixed","trochee","learning",10,NA,"a","iamb","b-tak",1,"b-takni",1,"b-takni","true",1989,"New Jersey","","","true","Female",TRUE,"iamb","a","trochee","bətak","a","aa",FALSE,"-a","iamb",TRUE,FALSE
"57",57,425,3623,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:13 UTC","fixed","trochee","learning",11,NA,"e","trochee","kef-t",1,"kof-t",1,"kof-t","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","kefət","o","eo",TRUE,"o-","trochee",TRUE,TRUE
"58",58,426,3624,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:23 UTC","fixed","trochee","learning",12,NA,"a","trochee","taz-p",1,"taz-pni",1,"taz-pni","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","tazəp","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"59",59,427,3625,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:36 UTC","fixed","trochee","learning",13,NA,"u","trochee","bul-k",1,"bil-k",1,"bil-k","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","bulək","i","ui",TRUE,"i-","trochee",TRUE,TRUE
"60",60,428,3626,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:46 UTC","fixed","trochee","learning",14,NA,"a","trochee","gast-sh",1,"gast-shni",1,"gast-shni","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","gastəsh","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"61",61,429,3627,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:41:58 UTC","fixed","trochee","learning",15,NA,"e","trochee","chedr-l",1,"chodr-l",1,"chodr-l","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","chedrəl","o","eo",TRUE,"o-","trochee",TRUE,TRUE
"62",62,430,3628,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:06 UTC","fixed","trochee","learning",16,NA,"u","trochee","lup-t",1,"lip-t",1,"lip-t","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","lupət","i","ui",TRUE,"i-","trochee",TRUE,TRUE
"63",63,431,3629,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:17 UTC","fixed","trochee","testing",17,NA,"e","trochee","desh-f",1,"dosh-f",0,"desh-fni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","deshəf","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"64",64,432,3630,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:24 UTC","fixed","trochee","testing",18,NA,"u","trochee","bul-k",1,"bil-k",0,"bol-k","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","bulək","o","uo",FALSE,"o-","trochee",TRUE,FALSE
"65",65,433,3631,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:29 UTC","fixed","trochee","testing",19,NA,"u","iamb","pl-sum",1,"pl-sim",0,"pl-sumni","false",1989,"New Jersey","","","true","Female",TRUE,"iamb","u","trochee","pləsum","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"66",66,434,3632,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:34 UTC","fixed","trochee","testing",20,NA,"e","trochee","sheb-f",1,"shob-f",0,"shib-f","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","shebəf","i","ei",FALSE,"i-","trochee",TRUE,FALSE
"67",67,435,3633,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:40 UTC","fixed","trochee","testing",21,NA,"u","trochee","sum-l",1,"sim-l",0,"sum-lni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","suməl","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"68",68,436,3634,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:51 UTC","fixed","trochee","testing",22,NA,"e","trochee","kresh-k",1,"krosh-k",0,"korsh-k","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","kreshək","o","eo",TRUE,"o-","trochee",TRUE,TRUE
"69",69,437,3635,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:42:57 UTC","fixed","trochee","testing",23,NA,"u","trochee","gun-k",1,"gin-k",0,"gun-kni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","gunək","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"70",70,438,3636,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:02 UTC","fixed","trochee","testing",24,NA,"e","trochee","fren-p",1,"fron-p",0,"fren-pni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","frenəp","e","ee",FALSE,"e-","trochee",TRUE,FALSE
"71",71,439,3637,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:07 UTC","fixed","trochee","testing",25,NA,"e","iamb","tr-mel",1,"tr-mol",0,"tr-melni","false",1989,"New Jersey","","","true","Female",TRUE,"iamb","e","trochee","trəmel","e","ee",FALSE,"-e","iamb",TRUE,FALSE
"72",72,440,3638,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:12 UTC","fixed","trochee","testing",26,NA,"u","iamb","s-fup",1,"s-fip",0,"s-fupni","false",1989,"New Jersey","","","true","Female",TRUE,"iamb","u","trochee","səfup","u","uu",FALSE,"-u","iamb",TRUE,FALSE
"73",73,441,3639,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:17 UTC","fixed","trochee","testing",27,NA,"a","trochee","taz-p",1,"taz-pni",0,"taz-pni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","tazəp","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"74",74,442,3640,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:22 UTC","fixed","trochee","testing",28,NA,"u","trochee","prus-m",1,"pris-m",0,"prus-mni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","u","trochee","prusəm","u","uu",FALSE,"u-","trochee",TRUE,FALSE
"75",75,443,3641,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:28 UTC","fixed","trochee","testing",29,NA,"a","iamb","pr-nash",1,"pr-nashni",0,"pr-nashni","false",1989,"New Jersey","","","true","Female",TRUE,"iamb","a","trochee","prənash","a","aa",FALSE,"-a","iamb",TRUE,FALSE
"76",76,444,3642,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:40 UTC","fixed","trochee","testing",30,NA,"a","trochee","mand-k",1,"mand-kni",0,"mand-kni","false",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","mandək","a","aa",FALSE,"a-","trochee",TRUE,FALSE
"77",77,445,3643,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:45 UTC","fixed","trochee","testing",31,NA,"e","iamb","m-pek",1,"m-pok",0,"m-pekni","false",1989,"New Jersey","","","true","Female",TRUE,"iamb","e","trochee","məpek","e","ee",FALSE,"-e","iamb",TRUE,FALSE
"78",78,446,3644,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:43:56 UTC","fixed","trochee","testing",32,NA,"a","trochee","skak-l",1,"skak-lni",0,"sk-kl","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","a","trochee","skakəl","","a",FALSE,"","",FALSE,FALSE
"79",79,447,3645,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:44:03 UTC","fixed","trochee","testing",33,NA,"e","trochee","sef-k",1,"sof-k",0,"s-fic","true",1989,"New Jersey","","","true","Female",TRUE,"trochee","e","trochee","sefək","i","ei",FALSE,"-i","iamb",FALSE,FALSE
"80",80,448,3646,"larvid",691,"CGY690","2011-03-28 21:39:33 UTC","2011-03-28 21:44:07 UTC","fixed","trochee","testing",34,NA,"a","iamb","g-mat",1,"g-matni",0,"g-mat","true",1989,"New Jersey","","","true","Female",TRUE,"iamb","a","trochee","gəmat","a","aa",FALSE,"-a","iamb",TRUE,FALSE
